ID	type	row.type	AEZ_type	AEZ31	region	zone	LON	LAT	Cluster	Axis1	Axis2	Axis3	type.plot
B_10	landrace	Two-rowed	SH	SH4	SNNP	GURAGE	38.544444	8.417222	4	1.72279179762963	-0.0197805371057444	-0.150725246101782	NA
B_100	landrace	Six-rowed	M	M4	SNNP	GURAGE	38.458333	8.398056	7	-0.469140942752843	1.08471849893278	-0.366404328266133	NA
B_101	landrace	Irregular	M	M4	SNNP	GURAGE	38.438333	8.409167	7	-0.562006238146119	1.13285653329723	-0.230881093474343	NA
B_102	landrace	Two-rowed	M	M3	Oromia	MIRAB SHEWA	37.897778	8.651389	5	-0.415935925226124	-0.693843687412038	1.49677025327593	NA
B_103	landrace	Six-rowed	SH	SH3	Amhara	AGEW AWI	36.848611	10.836389	4	1.4230879117705	0.333229405151406	-0.0489612567942834	NA
B_104	landrace	Two-rowed	SH	SH3	Amhara	AGEW AWI	36.848611	10.836389	4	2.12507601148802	-0.563245246658773	-0.310637189818819	NA
B_105	landrace	Two-rowed	SH	SH3	Amhara	AGEW AWI	36.847222	11.166944	5	-0.658335799539864	-1.31625133522677	2.76537669512744	NA
B_106	landrace	Irregular	SH	SH4	Amhara	AGEW AWI	36.952222	10.970833	10	-0.459229380300639	0.0594133708758997	-0.16270443246479	NA
B_107	landrace	Two-rowed	SH	SH3	Oromia	MISRAK WELLEGA	36.564444	9.913889	9	-0.131115820631555	-0.470135020689284	1.27653824901961	NA
B_108	landrace	Six-rowed	M	M3	Oromia	MISRAK WELLEGA	37.121111	9.271944	7	0.32156704816604	1.25428101153684	-0.454622508186709	NA
B_109	landrace	Irregular	M	M3	Oromia	MISRAK WELLEGA	37.121111	9.271944	7	-0.543263511366048	1.06254834170973	-0.165890946627031	NA
B_11	landrace	Two-rowed	SH	SH3	SNNP	KEFICHO SHEKICHO	37.818889	7.671667	7	-0.649958320440609	0.877110788501463	0.0551009892115571	NA
B_110	landrace	Two-rowed	SH	SH3	Oromia	MISRAK WELLEGA	37.11	9.268889	7	-0.550510877505732	1.03030073530212	-0.172156758491631	NA
B_111	landrace	Six-rowed	M	M4	Amhara	SEMEN SHEWA	39.851389	10.324722	10	-0.595893775818497	-0.167631814790713	-0.887410490697736	NA
B_112	landrace	Six-rowed	M	M4	Amhara	SEMEN SHEWA	39.851389	10.324722	10	-0.620794049209257	-0.183331340836404	-0.881217256980733	NA
B_113	landrace	Two-rowed	M	M3	Oromia	MIRAB SHEWA	37.209167	9.215833	5	-0.60675294687564	-1.35010829782978	2.95721130589245	NA
B_114	landrace	Six-rowed	SH	SH2	Oromia	MIRAB SHEWA	37.254167	8.658889	9	-0.297033641928558	-0.334762452194866	1.28433478232688	NA
B_115	landrace	Irregular	H	H3	Oromia	MIRAB SHEWA	38.536944	9.066389	7	-0.527842589670101	1.25669639595371	-0.196859252459869	NA
B_116	landrace	Six-rowed	SM	SM4	Amhara	SEMEN SHEWA	39.540278	9.306111	6	0.65225139854498	0.908351436882388	-0.635575105038986	NA
B_117	landrace	Six-rowed	SM	SM4	Amhara	SEMEN SHEWA	39.540278	9.306111	6	-0.549934689021823	0.890454052582494	-0.765868622301025	NA
B_118	landrace	Six-rowed	SM	SM4	Amhara	SEMEN SHEWA	39.540278	9.306111	6	-0.64635222811122	0.52714530547128	-0.565445274452543	NA
B_119	landrace	Six-rowed	SM	SM4	Amhara	SEMEN SHEWA	39.567222	9.935833	10	-0.661919041959862	0.117105810815965	-0.980689920993336	NA
B_12	landrace	Six-rowed	SH	SH4	SNNP	GURAGE	38.49	8.366111	7	-0.520222309933159	0.90457784675336	-0.0927580993605593	NA
B_120	landrace	Six-rowed	M	M4	Amhara	SEMEN SHEWA	39.73	10.394722	6	-0.468075307691211	0.583353609185023	-0.81678281138668	NA
B_121	landrace	Six-rowed	M	M3	Oromia	SEMEN SHEWA	38.838056	9.721667	10	-0.631332390532524	-0.129470150605173	-1.09035612489253	NA
B_122	landrace	Irregular	M	M3	Amhara	MISRAK GOJAM	38.168333	10.49	10	-0.736020163640196	-0.584604341928949	-0.157718632935207	NA
B_123	landrace	Two-rowed	M	M4	Amhara	MISRAK GOJAM	38.088889	10.742222	5	-0.639541140248117	-1.34986592490398	3.00170831133938	NA
B_124	landrace	Two-rowed	M	M3	Amhara	MISRAK GOJAM	38.3125	10.602778	10	-0.104464685219017	-1.29383805984083	-0.733655152300596	NA
B_125	landrace	Two-rowed	M	M3	Amhara	MISRAK GOJAM	38.038611	10.965833	5	-0.600781374661996	-1.03442310825082	2.01861491025351	NA
B_126	landrace	Two-rowed	M	M3	Amhara	MISRAK GOJAM	38.099444	10.995833	5	-0.599398669563258	-1.30305672160422	2.28618902821414	NA
B_127	landrace	Two-rowed	M	M4	Amhara	MISRAK GOJAM	38.210278	10.930556	5	-0.625159571345779	-1.04619873373654	2.31383924035589	NA
B_128	landrace	Six-rowed	M	M4	Amhara	MISRAK GOJAM	38.258611	10.915833	6	-0.569130738235866	0.85053276308609	-0.369165427349886	NA
B_129	landrace	Six-rowed	M	M4	Amhara	MISRAK GOJAM	38.258611	10.915833	6	-0.569040482154613	0.859113380011602	-0.363040301761891	NA
B_13	landrace	Two-rowed	SH	SH4	SNNP	GURAGE	38.466389	8.303889	6	-0.364290663079363	0.51560881354105	-0.288919924110155	NA
B_130	landrace	Six-rowed	M	M4	Amhara	MISRAK GOJAM	38.26	10.913056	6	-0.639366107994852	0.31188292703477	-0.900767641634932	NA
B_131	landrace	Two-rowed	M	M3	SNNP	GURAGE	37.969167	8.146944	7	-0.705982461532113	0.926299667085343	0.0389893580169101	NA
B_132	landrace	Two-rowed	M	M3	SNNP	GURAGE	37.971667	8.146667	6	-0.34915027614173	0.484050052673786	-0.342287765891058	NA
B_133	landrace	Six-rowed	M	M3	SNNP	GURAGE	38.110556	8.209444	6	-0.557794240227278	0.554578474395333	-0.15840002963233	NA
B_134	landrace	Six-rowed	M	M3	SNNP	GURAGE	38.110556	8.209444	7	0.703381506651449	0.925117461892417	-0.178883282076728	NA
B_135	landrace	Six-rowed	M	M3	SNNP	GURAGE	37.998889	8.576667	7	-0.524577978488459	1.3518513924609	-0.146721288642783	NA
B_136	landrace	Two-rowed	SH	SH3	SNNP	GURAGE	38.471389	8.073333	1	-0.309472118700693	-1.00977771236362	0.180198379353754	NA
B_137	landrace	Irregular	SH	SH4	SNNP	GURAGE	38.1175	8.120556	9	-0.304974857870195	-0.0561275580732711	0.724568449360601	NA
B_138	landrace	Six-rowed	SH	SH3	SNNP	HADIYA	37.704722	7.690833	3	-0.623926540545959	1.28437182781539	-0.0749789162882613	NA
B_139	landrace	Six-rowed	SH	SH3	SNNP	HADIYA	37.704722	7.690833	7	0.618603750768927	0.879395396032637	-0.699714754445754	NA
B_14	landrace	Two-rowed	SH	SH3	SNNP	GURAGE	38.614722	8.446944	5	-0.69547661947004	-0.365753812492233	1.82295730169947	NA
B_140	landrace	Six-rowed	SH	SH3	SNNP	HADIYA	37.690833	7.683889	3	-0.596032030335869	1.29073495338641	-0.0741936436170315	NA
B_141	landrace	Six-rowed	SM	SM3	Oromia	SEMEN SHEWA	39.583333	9.8	6	-0.677380602947846	0.426151008810237	-0.341065044143197	NA
B_142	landrace	Two-rowed	SH	SH3	SNNP	SEMEN OMO	37.833333	6.916667	9	-0.270840279757451	-0.393897123430897	1.16064794652749	NA
B_143	landrace	Irregular	M	M3	Amhara	DEBUB GONDAR	37.983333	11.85	7	-0.303201653541178	0.689980063493452	-0.171137733283149	NA
B_144	landrace	Six-rowed	M	M5	Amhara	DEBUB GONDAR	38.25	11.783333	6	-0.469842777592323	0.595532728173839	-0.635124619426068	NA
B_145	landrace	Six-rowed	M	M5	Amhara	DEBUB GONDAR	38.25	11.783333	4	1.50855256945875	0.344702016883987	-0.178978441631365	NA
B_146	landrace	Irregular	M	M4	Oromia	ARSSI	38.983333	7.55	7	-0.547720521558656	1.18450312736429	-0.158060433844433	NA
B_147	landrace	Irregular	M	M4	Oromia	ARSSI	38.983333	7.5	7	-0.565490448160046	0.951293443413661	-0.0848021540308648	NA
B_148	landrace	Six-rowed	H	H3	Oromia	ARSSI	39.216667	7.733333	6	-0.639279650069418	0.382037400924828	-0.791519577263753	NA
B_149	landrace	Six-rowed	H	H3	Oromia	ARSSI	39.216667	7.733333	6	-0.666129526447928	0.522693077118982	-0.507637765917684	NA
B_15	landrace	Two-rowed	SM	SM3	Tigray	DEBUBAWI	39.515278	13.273889	8	0.983180462539604	-2.97757764041076	-1.47384822012778	NA
B_150	landrace	Six-rowed	H	H4	Oromia	ARSSI	39.333333	7.8	7	-0.515488262082085	1.15342077480834	-0.220916751199236	NA
B_151	landrace	Six-rowed	H	H4	Oromia	ARSSI	39.333333	7.8	6	-0.569945823250908	0.859512863723863	-0.546013359323982	NA
B_152	landrace	Six-rowed	SH	SH4	SNNP	SEMEN OMO	37.566667	6.316667	6	-0.422399376286133	0.408555886917671	-0.0460324013527843	NA
B_153	landrace	Six-rowed	SH	SH4	SNNP	SEMEN OMO	37.566667	6.316667	6	-0.433734618017724	0.423779023554798	-0.0618339214147927	NA
B_154	landrace	Six-rowed	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
B_155	landrace	Six-rowed	SH	SH4	SNNP	SEMEN OMO	37.533333	6.316667	6	-0.345357286435312	0.457078980160758	-0.0693785268615058	NA
B_156	landrace	Six-rowed	SH	SH3	SNNP	SEMEN OMO	37.5	6.3	9	-0.292336114769459	-0.0908625644522028	0.72692796294706	NA
B_157	landrace	Six-rowed	SH	SH3	SNNP	SEMEN OMO	37.466667	6.283333	9	-0.308799366520588	-0.219655373096294	0.90836671979799	NA
B_158	landrace	Irregular	H	H3	Oromia	BALE	40.233333	7.066667	1	-0.425303602719389	0.0145838663850511	0.262853220618075	NA
B_159	landrace	Two-rowed	SH	SH3	SNNP	SEMEN OMO	37.65	6.833333	9	-0.414443547424027	-0.399300151571185	1.34966476269535	NA
B_16	landrace	Six-rowed	SM	SM4	Tigray	DEBUBAWI	39.562222	12.841389	10	-0.568687411108683	0.144575691762843	-1.23278158225218	NA
B_160	landrace	Irregular	SH	SH3	Oromia	MIRAB SHEWA	36.7	9.05	5	-0.501285231790593	-0.953917667981998	2.27899917985591	NA
B_161	landrace	Two-rowed	SH	SH3	Oromia	MISRAK WELLEGA	36.666667	8.766667	5	-0.600721667599426	-0.937982709699587	2.74096507200488	NA
B_162	landrace	Irregular	SH	SH3	Amhara	AGEW AWI	36.916667	10.933333	7	-0.618790607365898	0.905894258690016	-0.136237649434812	NA
B_163	landrace	Two-rowed	SH	SH3	SNNP	SEMEN OMO	37.916667	7.033333	9	-0.40353913025642	-0.416504453516448	1.35010214668478	NA
B_164	landrace	Irregular	M	M3	Amhara	DEBUB GONDAR	37.616667	11.816667	1	-0.487676863660964	0.164000820119479	0.288192270372247	NA
B_165	landrace	Irregular	SH	SH3	Oromia	MISRAK HARERGE	41.483333	9.283333	1	-0.415528205205619	-0.497214610622432	0.362081203127974	NA
B_166	landrace	Six-rowed	SH	SH3	SNNP	SEMEN OMO	36.633333	6.183333	1	-0.425827385075672	-0.414027330327915	1.13812626659857	NA
B_167	landrace	Six-rowed	SM	SM4	Amhara	DEBUB WELLO	38.833333	10.833333	7	-0.529190905374293	0.795778919842889	-0.532396386132804	NA
