<Trait>	DH	Row_type
B_10	62.0257247818687	1
B_100	73.1349420744913	0
B_101	77.2405223782865	0
B_102	62.3879818674978	1
B_103	69.6331235800776	0
B_104	60.3351917156001	1
B_105	53.3315547267729	1
B_106	63.8370102100137	0
B_107	59.7314299062185	1
B_108	77.1197700164102	0
B_109	75.4292369501416	0
B_11	69.753875941954	1
B_110	72.1689231794806	1
B_111	66.131305085664	0
B_112	66.7350668950457	0
B_113	57.6786397543208	1
B_114	58.8861633730841	0
B_115	81.4668550439582	0
B_116	69.1501141325723	0
B_117	67.942590513809	0
B_118	68.0633428756853	0
B_119	65.6482956381587	0
B_12	77.2405223782866	0
B_120	71.9274184557279	0
B_121	67.4595810663037	0
B_122	54.1768212599072	0
B_123	56.3503637736811	1
B_124	62.0257247818687	1
B_125	55.9881066880522	1
B_126	57.7993921161971	1
B_127	57.0748779449392	1
B_128	86.9007113283931	0
B_129	91.0062916321884	0
B_13	72.5311802651096	1
B_130	66.0105527237877	0
B_131	71.5651613700989	1
B_132	71.3236566463463	1
B_133	65.6482956381587	0
B_134	74.5839704170073	0
B_135	70.9613995607173	0
B_136	59.1276680968368	1
B_137	60.0936869918475	0
B_138	70.7198948369647	0
B_139	71.9274184557279	0
B_14	60.6974488012291	1
B_140	71.5651613700989	0
B_141	68.1840952375617	0
B_142	59.2484204587131	1
B_143	73.1349420744913	0
B_144	71.3236566463463	0
B_145	72.6519326269859	0
B_146	79.2933125301842	0
B_147	74.2217133313783	0
B_148	68.0633428756853	0
B_149	70.840647198841	0
B_15	59.7314299062185	1
B_150	69.7538759419539	0
B_151	73.8594562457493	0
B_152	65.1652861906534	0
B_153	65.5275432762824	0
B_155	62.2672295056215	0
B_156	58.6446586493314	0
B_157	59.0069157349605	0
B_158	59.2484204587132	0
B_159	59.3691728205895	1
B_16	70.116133027583	0
B_160	57.3163826686918	0
B_161	57.9201444780734	1
B_162	75.1877322263889	0
B_163	60.9389535249818	1
B_164	62.9917436768794	0
B_165	64.1992672956427	0
B_166	62.5087342293741	0
B_167	79.7763219776895	0
B_168	74.4632180551309	0
B_169	70.3576377513356	0
B_17	72.7726849888623	0
B_170	72.5311802651096	0
B_172	70.4783901132119	1
B_173	73.1349420744913	0
B_174	58.5239062874551	0
B_175	55.5050972405468	1
B_176	72.1689231794806	1
B_177	73.6179515219966	0
B_178	69.2708664944487	0
B_179	70.1161330275829	0
B_18	53.5730594505255	1
B_180	68.304847599438	0
B_181	75.4292369501416	0
B_182	70.7198948369646	0
B_183	67.4595810663037	0
B_184	67.4595810663037	0
B_185	60.9389535249818	1
B_186	78.0857889114208	1
B_187	60.4559440774764	1
B_188	64.4407720193954	0
B_189	65.044533828777	0
B_19	51.8825263842569	1
B_190	70.8406471988409	0
B_191	62.9917436768794	0
B_192	61.5427153343634	1
B_193	57.5578873924445	1
B_194	59.7314299062185	1
B_195	63.8370102100137	0
B_196	89.0742538421671	0
B_197	63.5955054862611	0
B_198	71.8066660938516	0
B_2	59.6106775443421	1
B_20	55.7466019642995	1
B_200	59.0069157349605	1
B_202	65.044533828777	0
